Gmt time,Open,High,Low,Close,Volume
10.07.2017 21:00:00.000,2385,2409,2256,2330,2227143.1045
11.07.2017 21:00:00.000,2330,2414,2243,2391,2338579.9026999995
12.07.2017 21:00:00.000,2390,2418,2310,2339,2207481.8114
13.07.2017 21:00:00.000,2338,2356,2153,2160,2321970.8940999997
16.07.2017 21:00:00.000,1865,2189,1855,2174,2081271.0951
17.07.2017 21:00:00.000,2173,2397,2145,2349,2811813.3887
18.07.2017 21:00:00.000,2350,2401,2220,2255,2360941.1870000004
19.07.2017 21:00:00.000,2255,2731,2245,2730,2372185.9890999994
20.07.2017 21:00:00.000,2730,2774,2616,2626,237072.3953
23.07.2017 21:00:00.000,2788,2802,2721,2760,1880618.9002
24.07.2017 21:00:00.000,2760,2781,2450,2471,2303155.7007
25.07.2017 21:00:00.000,2468,2611,2404,2504,2100515.4952
26.07.2017 21:00:00.000,2504,2599,2452,2584,1915958.9004999998
27.07.2017 21:00:00.000,2584,2836,2584,2756,2557347.1032
30.07.2017 21:00:00.000,2761,2893,2695,2886,2739730.1023999993
31.07.2017 21:00:00.000,2889,2928,2646,2745,3555170.8068000013
01.08.2017 21:00:00.000,2740,2760,2668,2691,2529055.2824
02.08.2017 21:00:00.000,2691,2806,2650,2783,2238013.9274000004
03.08.2017 21:00:00.000,2783,2878,2765,2832,2043605.221
06.08.2017 21:00:00.000,3266,3427,3193,3342,2141951.6068
07.08.2017 21:00:00.000,3343,3489,3341,3447,2522936.5921
08.08.2017 21:00:00.000,3447,3461,3238,3362,2983390.3197999997
09.08.2017 21:00:00.000,3372,3458,3300,3425,2222698.4826
10.08.2017 21:00:00.000,3425,3590,3404,3588,1676410.6909999999
13.08.2017 21:00:00.000,4011,4343,3984,4263,2547402.3094
14.08.2017 21:00:00.000,4263,4452,3810,4072,2824565.5060999994
15.08.2017 21:00:00.000,4072,4355,4059,4352,661865.204
16.08.2017 21:00:00.000,4325,4479,4185,4332,1676938.324
17.08.2017 21:00:00.000,4328,4359,4193,4305,688131.405
20.08.2017 21:00:00.000,4119,4153,3967,3997,2023497.0093999996
21.08.2017 21:00:00.000,3775,4144,3774,4073,1925809.1048
22.08.2017 21:00:00.000,4073,4265,4020,4134,2083033.905
23.08.2017 21:00:00.000,4134,4257,4092,4234,2122255.3942
24.08.2017 21:00:00.000,4234,4454,4218,4329,1984998.2108000005
27.08.2017 21:00:00.000,4366,4370,4191,4340,2018315.4144000001
28.08.2017 21:00:00.000,4340,4643,4340,4597,2047640.8959000001
29.08.2017 21:00:00.000,4597,4640,4500,4575,1727791.1032999998
30.08.2017 21:00:00.000,4575,4769,4557,4742,1569665.6989
31.08.2017 21:00:00.000,4742,4745,4727,4739,134157.0015
03.09.2017 21:00:00.000,4626,4641,4166,4367,2114934.0173999993
04.09.2017 21:00:00.000,4367,4546,4138,4460,2697043.1064
05.09.2017 21:00:00.000,4460,4690,4415,4569,2604174.3164
06.09.2017 21:00:00.000,4569,4691,4483,4576,3231605.1098999996
07.09.2017 21:00:00.000,4598,4694,4140,4248,2702564.0926000006
10.09.2017 21:00:00.000,4289,4380,4114,4193,3738361.4997
11.09.2017 21:00:00.000,4196,4386,4080,4180,2093899.5857
12.09.2017 21:00:00.000,4180,4212,3737,3898,2816535.9039
13.09.2017 21:00:00.000,3898,3958,3246,3392,2930169.0217
14.09.2017 21:00:00.000,3392,3854,2975,3726,3424503.1893
17.09.2017 21:00:00.000,3748,4127,3705,4007,3348326.7782000005
18.09.2017 21:00:00.000,4007,4124,3851,3906,2569937.9196
19.09.2017 21:00:00.000,3911,4046,3837,3960,2259491.2032000003
20.09.2017 21:00:00.000,3959,3975,3573,3649,2529596.8934
21.09.2017 21:00:00.000,3650,3763,3511,3616,1308716.4841000002
24.09.2017 21:00:00.000,3670,3961,3664,3942,902297.1016999998
25.09.2017 21:00:00.000,3942,3965,3855,3908,2013060.2074000002
26.09.2017 21:00:00.000,3908,4193,3875,4154,2035867.9695
27.09.2017 21:00:00.000,4154,4277,4127,4165,2371452.6176
28.09.2017 21:00:00.000,4165,4222,4018,4173,1616584.1941999998
01.10.2017 21:00:00.000,4388,4470,4361,4393,867893.3049
02.10.2017 21:00:00.000,4392,4431,4236,4285,1028760.8016999998
03.10.2017 21:00:00.000,4284,4353,4185,4201,1508793.9988999998
04.10.2017 21:00:00.000,4201,4360,4146,4347,1436217.1056999997
05.10.2017 21:00:00.000,4347,4418,4297,4341,1444400.299
08.10.2017 21:00:00.000,4583,4871,4557,4844,1829682.8040000005
09.10.2017 21:00:00.000,4843,4927,4740,4873,2015762.4818
10.10.2017 21:00:00.000,4873,4876,4710,4827,1814932.7965000002
